frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
47,2.238095,far,1.620000,3.761000,3.761000,1.620000
48,2.285714,near,0.376000,5.388000,5.388000,0.376000
48,2.285714,far,1.581000,3.796000,3.796000,1.581000
49,2.333333,near,0.257000,5.388000,5.388000,0.257000
49,2.333333,far,1.660000,3.854000,3.854000,1.660000
50,2.380952,near,0.000000,5.388000,5.388000,0.000000
50,2.380952,far,1.488000,3.904000,3.904000,1.488000
51,2.428571,near,0.087000,5.562000,5.562000,0.087000
51,2.428571,far,1.326000,3.951000,3.951000,1.326000
52,2.476190,near,0.740000,5.748000,5.748000,0.740000
52,2.476190,far,1.161000,3.998000,3.998000,1.161000
53,2.523810,near,1.132000,5.860000,5.860000,1.132000
53,2.523810,far,0.991000,4.044000,4.044000,0.991000
54,2.571429,near,1.845000,6.064000,6.064000,1.845000
54,2.571429,far,0.869000,4.044000,4.044000,0.869000
55,2.619048,near,2.608000,6.282000,6.282000,2.608000
55,2.619048,far,0.875000,4.104000,4.104000,0.875000
56,2.666667,near,2.926000,6.373000,6.373000,2.926000
56,2.666667,far,0.760000,4.121000,4.121000,0.760000
57,2.714286,near,3.136000,6.458000,6.458000,3.136000
57,2.714286,far,1.263000,4.312000,4.312000,1.263000
58,2.761905,near,2.827000,6.556000,6.556000,2.827000
58,2.761905,far,1.437000,4.408000,4.408000,1.437000
59,2.809524,near,2.847000,6.674000,6.674000,2.847000
59,2.809524,far,1.783000,4.554000,4.554000,1.783000
60,2.857143,near,2.946000,6.905000,6.905000,2.946000
60,2.857143,far,2.154000,4.660000,4.660000,2.154000
61,2.904762,near,2.668000,7.044000,7.044000,2.668000
61,2.904762,far,2.812000,4.907000,4.907000,2.812000
62,2.952381,near,2.782000,7.167000,7.167000,2.782000
62,2.952381,far,3.099000,5.007000,5.007000,3.099000
63,3.000000,near,3.006000,7.316000,7.316000,3.006000
63,3.000000,far,2.608000,5.057000,5.057000,2.608000
64,3.047619,near,2.876000,7.378000,7.378000,2.876000
64,3.047619,far,2.446000,5.107000,5.107000,2.446000
65,3.095238,near,3.122000,7.566000,7.566000,3.122000
65,3.095238,far,2.099000,5.154000,5.154000,2.099000
66,3.142857,near,2.684000,7.672000,7.672000,2.684000
66,3.142857,far,1.789000,5.171000,5.171000,1.789000
