frame,time_s,role,track_id,x_px,y_px,court_x_m,court_y_m,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,source
34,1.619048,far,1,771.000,461.000,5.674873,0.402492,691.379,316.621,813.438,485.180,0.844475,detected
35,1.666667,near,,,,,,,,,,0.000000,missing
35,1.666667,far,1,768.000,487.000,5.334208,0.000000,683.668,299.306,844.638,512.459,0.934209,detected
36,1.714286,near,,,,,,,,,,0.000000,missing
36,1.714286,far,1,764.000,475.000,5.434448,0.000000,684.694,299.348,865.202,530.948,0.724891,detected
37,1.761905,near,,,,,,,,,,0.000000,missing
37,1.761905,far,1,787.000,521.000,5.155917,0.000000,692.126,314.494,875.377,541.414,0.930513,detected
38,1.809524,near,,,,,,,,,,0.000000,missing
38,1.809524,far,1,793.000,521.000,5.198333,0.000000,701.333,329.246,881.206,544.000,0.942742,detected
39,1.857143,near,,,,,,,,,,0.000000,missing
39,1.857143,far,1,804.000,522.000,5.267123,0.000000,714.895,343.773,886.888,544.000,0.942821,detected
40,1.904762,near,,,,,,,,,,0.000000,missing
40,1.904762,far,1,803.000,521.000,5.268983,0.000000,718.769,349.583,889.527,544.000,0.940233,detected
41,1.952381,near,,,,,,,,,,0.000000,missing
41,1.952381,far,1,805.000,522.000,5.274157,0.000000,721.943,351.329,893.575,544.000,0.938018,detected
42,2.000000,near,,,,,,,,,,0.000000,missing
42,2.000000,far,1,809.000,518.000,5.338955,0.000000,722.567,343.783,901.147,544.000,0.915341,detected
43,2.047619,near,,,,,,,,,,0.000000,missing
43,2.047619,far,1,806.000,509.000,5.403657,0.000000,722.550,340.188,901.276,541.271,0.898682,detected
44,2.095238,near,,,,,,,,,,0.000000,missing
44,2.095238,far,1,788.000,497.000,5.388712,0.000000,697.141,328.885,869.289,524.299,0.931007,detected
45,2.142857,near,,,,,,,,,,0.000000,missing
45,2.142857,far,1,781.000,496.000,5.344313,0.000000,677.771,324.056,845.267,517.170,0.932842,detected
46,2.190476,near,,,,,,,,,,0.000000,missing
46,2.190476,far,1,765.000,496.000,5.218870,0.000000,661.411,321.783,824.042,513.982,0.933694,detected
47,2.238095,near,,,,,,,,,,0.000000,missing
47,2.238095,far,1,748.000,491.000,5.132038,0.000000,652.955,316.761,815.139,513.111,0.935628,detected
48,2.285714,near,,,,,,,,,,0.000000,missing
48,2.285714,far,1,738.000,484.000,5.118042,0.000000,648.748,310.962,810.788,511.758,0.918899,detected
49,2.333333,near,,,,,,,,,,0.000000,missing
49,2.333333,far,1,706.000,455.000,5.139208,0.743122,646.417,305.345,794.488,493.298,0.929103,detected
50,2.380952,near,,,,,,,,,,0.000000,missing
50,2.380952,far,1,698.000,450.000,5.119083,1.031406,648.027,302.868,780.601,473.434,0.905147,detected
51,2.428571,near,,,,,,,,,,0.000000,missing
51,2.428571,far,1,683.000,448.000,4.993063,1.155067,642.184,303.131,765.532,465.586,0.893916,detected
52,2.476190,near,,,,,,,,,,0.000000,missing
52,2.476190,far,1,677.000,455.000,4.860806,0.751536,635.610,303.027,754.617,463.590,0.909064,detected
53,2.523810,near,,,,,,,,,,0.000000,missing
53,2.523810,far,1,670.000,452.000,4.822744,0.923672,628.085,303.477,743.087,462.765,0.911033,detected
54,2.571429,near,,,,,,,,,,0.000000,missing
54,2.571429,far,1,663.000,448.000,4.793313,1.161536,621.925,303.325,732.525,460.149,0.908635,detected
55,2.619048,near,,,,,,,,,,0.000000,missing
55,2.619048,far,1,651.000,440.000,4.751227,1.670230,613.305,303.523,720.048,456.291,0.909826,detected
56,2.666667,near,,,,,,,,,,0.000000,missing
56,2.666667,far,1,645.000,439.000,4.698272,1.738886,607.150,303.339,713.695,456.712,0.908848,detected
57,2.714286,near,,,,,,,,,,0.000000,missing
57,2.714286,far,1,639.000,441.000,4.616066,1.608923,603.143,306.638,707.083,456.470,0.921563,detected
58,2.761905,near,,,,,,,,,,0.000000,missing
58,2.761905,far,1,633.000,441.000,4.553493,1.611096,600.169,309.831,700.825,454.752,0.926398,detected
59,2.809524,near,,,,,,,,,,0.000000,missing
59,2.809524,far,1,629.000,441.000,4.511754,1.612545,597.393,311.237,694.872,451.951,0.923009,detected
60,2.857143,near,,,,,,,,,,0.000000,missing
60,2.857143,far,1,619.000,432.000,4.484888,2.237589,590.707,311.626,683.634,446.355,0.917404,detected
61,2.904762,near,,,,,,,,,,0.000000,missing
61,2.904762,far,1,615.000,430.000,4.458673,2.386793,584.537,311.204,676.146,443.736,0.922832,detected
62,2.952381,near,,,,,,,,,,0.000000,missing
62,2.952381,far,1,611.000,426.000,4.450000,2.694908,576.542,309.906,667.833,441.935,0.887972,detected
63,3.000000,near,,,,,,,,,,0.000000,missing
63,3.000000,far,1,607.000,421.000,4.450336,3.102445,566.216,305.980,658.239,439.506,0.908236,detected
64,3.047619,near,,,,,,,,,,0.000000,missing
64,3.047619,far,1,603.000,419.000,4.421722,3.274334,559.237,304.783,648.843,435.836,0.894015,detected
65,3.095238,near,,,,,,,,,,0.000000,missing
65,3.095238,far,1,592.000,422.000,4.264539,3.026635,549.546,307.210,635.262,434.756,0.834994,detected
66,3.142857,near,,,,,,,,,,0.000000,missing
66,3.142857,far,1,586.000,420.000,4.209734,3.197561,541.345,300.077,629.632,434.934,0.864452,detected
67,3.190476,near,,,,,,,,,,0.000000,missing
67,3.190476,far,1,580.000,422.000,4.123235,3.032594,534.352,294.360,623.493,434.337,0.885642,detected
68,3.238095,near,,,,,,,,,,0.000000,missing
68,3.238095,far,1,574.000,422.000,4.052504,3.035577,527.966,294.854,616.311,435.085,0.895535,detected
69,3.285714,near,,,,,,,,,,0.000000,missing
69,3.285714,far,1,570.000,423.000,3.998777,2.955088,520.965,292.485,610.908,435.134,0.906517,detected
70,3.333333,near,,,,,,,,,,0.000000,missing
70,3.333333,far,1,565.000,423.000,3.940145,2.957535,517.027,290.867,608.811,436.171,0.919487,detected
71,3.380952,near,,,,,,,,,,0.000000,missing
71,3.380952,far,1,560.000,422.000,3.887259,3.042546,513.337,290.240,605.840,436.495,0.919327,detected
72,3.428571,near,,,,,,,,,,0.000000,missing
72,3.428571,far,1,556.000,423.000,3.834515,2.961943,511.478,292.345,602.987,436.507,0.914266,detected
73,3.476190,near,,,,,,,,,,0.000000,missing
73,3.476190,far,1,549.000,424.000,3.747396,2.883786,503.203,291.540,595.362,436.700,0.902835,detected
74,3.523810,near,,,,,,,,,,0.000000,missing
74,3.523810,far,1,544.000,424.000,3.688987,2.886199,498.680,291.658,589.918,436.681,0.897725,detected
75,3.571429,near,,,,,,,,,,0.000000,missing
75,3.571429,far,1,537.000,425.000,3.603231,2.808937,493.810,293.715,583.161,436.734,0.890734,detected
76,3.619048,near,,,,,,,,,,0.000000,missing
76,3.619048,far,1,524.000,428.000,3.443408,2.578971,487.527,298.052,575.949,441.498,0.876740,detected
77,3.666667,near,,,,,,,,,,0.000000,missing
77,3.666667,far,1,519.000,433.000,3.374340,2.206671,484.612,304.852,569.753,444.450,0.887666,detected
78,3.714286,near,,,,,,,,,,0.000000,missing
78,3.714286,far,1,516.000,438.000,3.330834,1.855425,479.853,308.594,563.376,446.468,0.890353,detected
79,3.761905,near,,,,,,,,,,0.000000,missing
79,3.761905,far,1,515.000,437.000,3.322017,1.924636,476.684,308.678,560.105,447.252,0.911938,detected
80,3.809524,near,,,,,,,,,,0.000000,missing
80,3.809524,far,1,515.000,434.000,3.327977,2.136125,473.904,309.477,556.701,446.790,0.910856,detected
81,3.857143,near,,,,,,,,,,0.000000,missing
81,3.857143,far,1,512.000,431.000,3.300487,2.356740,469.194,309.272,551.367,444.000,0.920294,detected
82,3.904762,near,,,,,,,,,,0.000000,missing
82,3.904762,far,1,512.000,431.000,3.300487,2.356740,465.609,307.501,549.032,443.479,0.905136,detected
83,3.952381,near,,,,,,,,,,0.000000,missing
83,3.952381,far,1,512.000,433.000,3.296752,2.209592,462.249,306.361,546.440,443.327,0.891508,detected
84,4.000000,near,,,,,,,,,,0.000000,missing
84,4.000000,far,1,514.000,431.000,3.322935,2.355877,461.005,305.542,545.711,443.325,0.878332,detected
85,4.047619,near,,,,,,,,,,0.000000,missing
85,4.047619,far,1,518.000,432.000,3.365523,2.280170,462.056,304.517,548.106,444.260,0.899765,detected
86,4.095238,near,,,,,,,,,,0.000000,missing
86,4.095238,far,1,520.000,436.000,3.378393,1.992301,463.136,302.346,553.159,447.888,0.911134,detected
87,4.142857,near,,,,,,,,,,0.000000,missing
87,4.142857,far,1,518.000,436.000,3.356632,1.993096,460.893,300.780,554.823,451.900,0.898233,detected
88,4.190476,near,,,,,,,,,,0.000000,missing
88,4.190476,far,1,519.000,447.000,3.344451,1.269836,456.634,297.888,557.145,459.670,0.805949,detected
89,4.238095,near,,,,,,,,,,0.000000,missing
89,4.238095,far,1,520.000,448.000,3.352647,1.208198,445.317,292.338,552.114,462.807,0.913490,detected
90,4.285714,near,,,,,,,,,,0.000000,missing
90,4.285714,far,1,518.000,448.000,3.332341,1.208856,438.535,284.125,551.098,463.927,0.904425,detected
91,4.333333,near,,,,,,,,,,0.000000,missing
91,4.333333,far,1,505.000,442.000,3.207398,1.592075,431.354,270.926,549.435,463.073,0.892258,detected
92,4.380952,near,,,,,,,,,,0.000000,missing
92,4.380952,far,1,499.000,433.000,3.152492,2.215024,429.373,265.730,544.775,458.701,0.907735,detected
93,4.428571,near,,,,,,,,,,0.000000,missing
93,4.428571,far,1,496.000,422.000,3.128160,3.074558,426.380,261.902,536.605,450.285,0.902096,detected
94,4.476190,near,,,,,,,,,,0.000000,missing
94,4.476190,far,1,489.000,411.000,3.048680,4.070269,421.961,261.731,524.354,439.510,0.874328,detected
95,4.523810,near,,,,,,,,,,0.000000,missing
95,4.523810,far,1,483.000,408.000,2.971095,4.372033,407.218,261.000,508.108,436.573,0.893744,detected
96,4.571429,near,,,,,,,,,,0.000000,missing
96,4.571429,far,1,472.000,413.000,2.832372,3.888571,398.538,261.000,498.788,437.395,0.834563,detected
97,4.619048,near,,,,,,,,,,0.000000,missing
