video_id,variant,quality_level,quality_score,visible_rate,max_missing_gap,interp_rate,rejected_static_lock,rejected_jump,frames,raw_visible,final_visible,interpolated,rejected_roi,inpaintnet_enabled,reason,report_path
1_00_01,,Green,94.67,0.6844,36,0.0584,34,2,225,216,154,9,34,False,pass,/Users/davidfang/PyCharmMiscProject/minicondapythonProject1/计算机视觉大作业/badminton-pipeline-repro/output/1_00_01/1_00_01_ball_refine_report.json
pro_match17_1_02_02,,Green,93.14,0.6559,40,0.1189,18,9,372,313,244,29,70,False,pass,/Users/davidfang/PyCharmMiscProject/minicondapythonProject1/计算机视觉大作业/badminton-pipeline-repro/output/pro_match17_1_02_02/pro_match17_1_02_02_ball_refine_report.json
pro_match17_1_15_13,,Green,93.84,0.7627,30,0.1037,38,34,531,522,405,42,86,False,pass,/Users/davidfang/PyCharmMiscProject/minicondapythonProject1/计算机视觉大作业/badminton-pipeline-repro/output/pro_match17_1_15_13/pro_match17_1_15_13_ball_refine_report.json
pro_match17_2_01_01,,Green,94.96,0.7137,48,0.0871,10,10,531,446,379,33,79,False,pass,/Users/davidfang/PyCharmMiscProject/minicondapythonProject1/计算机视觉大作业/badminton-pipeline-repro/output/pro_match17_2_01_01/pro_match17_2_01_01_ball_refine_report.json
pro_match17_2_08_05,,Green,93.53,0.649,50,0.0702,59,3,527,505,342,24,124,False,pass,/Users/davidfang/PyCharmMiscProject/minicondapythonProject1/计算机视觉大作业/badminton-pipeline-repro/output/pro_match17_2_08_05/pro_match17_2_08_05_ball_refine_report.json
pro_match17_2_15_11,,Green,95.24,0.8021,30,0.0796,39,15,470,457,377,30,55,False,pass,/Users/davidfang/PyCharmMiscProject/minicondapythonProject1/计算机视觉大作业/badminton-pipeline-repro/output/pro_match17_2_15_11/pro_match17_2_15_11_ball_refine_report.json
pro_match17_2_18_11,,Green,94.02,0.7046,35,0.0793,59,15,501,488,353,28,88,False,pass,/Users/davidfang/PyCharmMiscProject/minicondapythonProject1/计算机视觉大作业/badminton-pipeline-repro/output/pro_match17_2_18_11/pro_match17_2_18_11_ball_refine_report.json
pro_match19_1_01_01,,Green,95.96,0.6913,51,0.0472,19,4,460,388,318,15,62,False,pass,/Users/davidfang/PyCharmMiscProject/minicondapythonProject1/计算机视觉大作业/badminton-pipeline-repro/output/pro_match19_1_01_01/pro_match19_1_01_01_ball_refine_report.json
short,,Green,88.96,0.5635,66,0.2338,199,40,630,578,355,83,66,False,pass,/Users/davidfang/PyCharmMiscProject/minicondapythonProject1/计算机视觉大作业/badminton-pipeline-repro/output/short/short_ball_refine_report.json
